GEOID,NAME,variable,B08121_001_estimate,B08121_001_moe,Total_Worked_At_Home_estimate,Total_Worked_At_Home_021_moe,Total_Married_Couple_Family_estimate,Total_Married_Couple_Family_moe,Total_PopOneRace_White_estimate,Total_PopOneRace_White_moe
42101000100,"Census Tract 1, Philadelphia County, Pennsylvania",B08121_001,63650,9854,106,62,511,156,3020,405
42101000200,"Census Tract 2, Philadelphia County, Pennsylvania",B08121_001,40472,17900,8,13,438,86,825,271
42101000300,"Census Tract 3, Philadelphia County, Pennsylvania",B08121_001,70300,9533,147,63,554,114,2740,323
42101000401,"Census Tract 4.01, Philadelphia County, Pennsylvania",B08121_001,54250,7936,162,82,465,106,1605,210
42101000402,"Census Tract 4.02, Philadelphia County, Pennsylvania",B08121_001,61542,12941,82,58,490,151,2721,417
42101000500,"Census Tract 5, Philadelphia County, Pennsylvania",B08121_001,52625,6852,36,21,122,39,1126,231
42101000600,"Census Tract 6, Philadelphia County, Pennsylvania",B08121_001,53810,6702,59,41,82,31,991,152
42101000700,"Census Tract 7, Philadelphia County, Pennsylvania",B08121_001,52767,5122,108,65,300,111,2138,293
42101000801,"Census Tract 8.01, Philadelphia County, Pennsylvania",B08121_001,66875,11727,55,40,263,129,1223,226
42101000803,"Census Tract 8.03, Philadelphia County, Pennsylvania",B08121_001,51102,11810,477,213,464,151,3015,336
42101000804,"Census Tract 8.04, Philadelphia County, Pennsylvania",B08121_001,73327,5590,296,127,604,146,3469,322
42101000901,"Census Tract 9.01, Philadelphia County, Pennsylvania",B08121_001,42883,3233,57,56,133,56,1521,223
42101000902,"Census Tract 9.02, Philadelphia County, Pennsylvania",B08121_001,52975,4158,119,60,340,101,1912,283
42101001001,"Census Tract 10.01, Philadelphia County, Pennsylvania",B08121_001,55934,4945,159,115,608,103,2296,206
42101001002,"Census Tract 10.02, Philadelphia County, Pennsylvania",B08121_001,68472,11248,169,70,690,88,3144,240
42101001101,"Census Tract 11.01, Philadelphia County, Pennsylvania",B08121_001,53010,4933,120,81,361,122,3038,381
42101001102,"Census Tract 11.02, Philadelphia County, Pennsylvania",B08121_001,60144,11741,122,66,213,55,2045,212
42101001201,"Census Tract 12.01, Philadelphia County, Pennsylvania",B08121_001,77695,6435,121,65,764,128,3559,389
42101001202,"Census Tract 12.02, Philadelphia County, Pennsylvania",B08121_001,56942,5403,342,127,663,162,4339,401
42101001300,"Census Tract 13, Philadelphia County, Pennsylvania",B08121_001,55984,5585,117,64,948,141,3661,335
